aX,aY,aZ,gX,gY,gZ
0.881,-2.037,-0.496,17.334,79.529,216.736
0.854,-2.023,-0.464,6.836,76.050,197.083
0.747,-1.954,-0.367,-5.188,68.787,175.354
0.778,-1.945,-0.296,-10.498,46.814,149.841
0.709,-1.893,-0.245,-12.756,25.146,122.498
0.682,-1.724,-0.228,-18.127,8.057,101.440
0.656,-1.580,-0.306,-20.813,-6.409,82.947
0.608,-1.418,-0.368,-25.146,-16.968,68.420
0.543,-1.247,-0.434,-29.663,-19.531,62.317
0.498,-1.115,-0.479,-31.372,-15.625,60.425
0.499,-1.029,-0.524,-29.053,-7.629,58.716
0.503,-0.991,-0.490,-22.156,1.099,56.824
0.503,-1.001,-0.410,-10.986,10.925,55.359
0.543,-1.050,-0.341,1.160,21.362,52.246
0.593,-1.132,-0.273,12.268,28.870,45.837
0.644,-1.204,-0.211,19.592,31.677,37.354
0.677,-1.247,-0.168,22.217,29.785,29.358
0.696,-1.262,-0.151,20.203,23.621,21.973
0.705,-1.240,-0.160,13.550,13.794,16.357
0.689,-1.196,-0.187,3.784,2.869,12.878
0.655,-1.132,-0.236,-6.958,-7.690,11.536
0.604,-1.041,-0.288,-16.663,-15.991,11.902
0.554,-0.972,-0.335,-22.949,-21.362,12.329
0.521,-0.913,-0.372,-25.513,-23.437,11.841
0.488,-0.870,-0.395,-24.536,-22.217,11.475
0.464,-0.840,-0.414,-20.569,-18.738,10.620
0.454,-0.824,-0.421,-14.343,-13.977,8.179
0.457,-0.824,-0.418,-6.897,-9.155,4.639
0.477,-0.828,-0.405,0.244,-4.456,1.099
0.499,-0.833,-0.389,4.272,0.061,-1.892
0.518,-0.831,-0.377,5.859,3.601,-3.235
0.551,-0.840,-0.368,5.737,5.676,-4.150
0.574,-0.847,-0.362,4.333,6.470,-4.089
0.579,-0.845,-0.351,2.197,6.042,-2.991
0.586,-0.850,-0.351,0.000,4.517,-2.075
0.582,-0.837,-0.350,-1.526,2.075,-1.892
0.578,-0.826,-0.356,-1.953,-1.343,-2.380
0.568,-0.817,-0.367,-2.014,-4.272,-2.747
0.553,-0.800,-0.377,-2.075,-6.409,-2.991
0.547,-0.798,-0.395,-2.380,-7.446,-2.869
0.535,-0.791,-0.400,-2.258,-7.263,-1.953
0.519,-0.790,-0.400,-1.831,-5.432,-0.854
0.513,-0.798,-0.393,-1.526,-2.625,-1.221
0.516,-0.806,-0.381,-1.160,0.488,-2.441
0.530,-0.813,-0.377,-0.854,2.747,-4.028
0.541,-0.811,-0.368,-1.221,3.540,-5.493
