aX,aY,aZ,gX,gY,gZ
0.181,-0.815,0.726,-7.507,2.319,-43.030
0.235,-0.789,0.729,-15.381,19.958,-33.813
0.236,-0.775,0.743,-31.006,37.109,-24.292
0.278,-0.698,0.708,-46.143,52.246,-13.611
0.305,-0.629,0.655,-54.382,60.913,-8.728
0.296,-0.645,0.634,-61.035,60.120,-12.451
0.297,-0.684,0.665,-61.829,52.673,-16.724
0.286,-0.753,0.666,-56.030,40.771,-18.677
0.309,-0.763,0.704,-40.466,16.357,-19.714
0.277,-0.749,0.730,-17.212,-10.803,-21.667
0.260,-0.795,0.834,-1.099,-25.879,-25.940
0.248,-0.799,0.834,2.136,-34.180,-26.917
0.228,-0.845,0.878,-0.977,-26.855,-22.827
0.172,-0.841,0.914,-5.798,-12.512,-15.686
0.149,-0.808,0.838,-10.864,-0.732,-9.583
0.162,-0.758,0.740,-10.315,4.333,-6.104
0.203,-0.706,0.694,-6.836,1.465,-3.906
0.248,-0.664,0.684,-4.211,-2.563,-2.747
0.269,-0.657,0.678,-2.686,-4.944,-2.625
0.255,-0.673,0.675,-3.906,-4.578,-1.770
0.281,-0.674,0.662,-6.531,-3.235,0.244
0.277,-0.650,0.669,-7.019,-3.113,1.953
0.253,-0.667,0.681,-6.592,-2.747,0.732
0.256,-0.695,0.698,-7.690,-2.197,-0.549
0.255,-0.688,0.700,-7.935,-1.282,0.427
0.243,-0.696,0.698,-7.690,-1.221,0.977
0.239,-0.699,0.713,-7.812,-3.052,1.465
0.245,-0.703,0.740,-7.446,-4.822,1.892
0.263,-0.704,0.758,-5.676,-6.104,2.075
0.255,-0.689,0.746,-2.808,-6.287,2.625
0.247,-0.675,0.722,-1.343,-6.592,3.235
0.258,-0.647,0.695,-0.427,-7.629,2.991
0.257,-0.631,0.677,0.732,-8.667,2.136
0.245,-0.656,0.674,0.793,-9.277,0.549
0.237,-0.683,0.676,0.977,-10.132,-0.366
0.223,-0.700,0.683,0.732,-9.583,0.061
0.207,-0.720,0.703,-0.732,-9.583,0.549
0.217,-0.730,0.732,-1.038,-10.254,1.038
0.220,-0.718,0.751,0.488,-10.193,1.831
0.223,-0.713,0.744,1.404,-8.850,2.808
0.240,-0.698,0.730,2.380,-7.751,3.540
0.265,-0.660,0.700,4.517,-6.470,4.822
0.267,-0.649,0.673,5.310,-5.676,4.578
0.267,-0.673,0.683,4.395,-6.287,2.686
0.278,-0.677,0.706,4.944,-7.629,1.587
0.277,-0.664,0.706,7.385,-8.606,0.977
0.615,0.852,-2.400,-56.580,-71.533,-12.451
0.635,0.961,-2.561,-79.773,-80.200,-14.160
0.618,1.095,-2.713,-107.422,-85.632,-13.428
0.570,1.242,-2.856,-139.099,-89.355,-11.841
0.523,1.391,-2.981,-172.485,-94.849,-10.681
0.481,1.598,-3.056,-204.468,-106.567,-10.437
0.437,1.807,-3.058,-236.084,-124.756,-14.038
0.398,1.989,-2.942,-267.883,-148.376,-22.095
0.315,2.083,-2.762,-296.875,-177.856,-32.654
0.204,2.153,-2.509,-319.458,-206.604,-47.363
0.098,2.108,-2.273,-335.266,-232.239,-64.697
-0.012,2.096,-1.999,-345.581,-253.784,-76.904
-0.112,2.062,-1.767,-357.117,-274.292,-83.130
-0.155,2.047,-1.492,-372.070,-294.067,-85.632
-0.179,2.036,-1.189,-386.169,-312.561,-88.623
-0.226,2.024,-0.886,-396.912,-329.590,-93.445
