aX,aY,aZ,gX,gY,gZ
-0.173,-0.138,0.646,13.489,-15.930,3.052
-0.175,-0.159,0.634,10.620,-11.841,6.531
-0.182,-0.192,0.662,9.155,-6.836,7.690
-0.161,-0.187,0.685,7.141,0.549,6.531
-0.126,-0.175,0.671,5.432,4.944,4.028
-0.123,-0.152,0.725,6.042,2.747,0.305
-0.062,-0.154,0.739,5.615,-0.061,-3.296
-0.041,-0.106,0.703,0.977,-3.418,-5.432
-0.077,-0.017,0.615,-3.845,-11.536,-3.296
-0.059,0.016,0.534,-2.747,-23.254,5.981
-0.054,-0.031,0.502,5.676,-33.142,17.578
-0.098,-0.085,0.523,13.855,-36.377,27.161
-0.136,-0.129,0.568,19.165,-31.616,33.264
-0.142,-0.187,0.662,20.203,-23.193,33.997
-0.135,-0.210,0.710,14.465,-11.475,30.396
-0.107,-0.171,0.698,5.310,-1.160,24.780
-0.058,-0.099,0.686,0.000,2.014,21.484
-0.030,-0.021,0.668,2.563,-0.732,21.057
0.031,-0.005,0.686,12.817,-6.226,23.743
1.153,-0.561,2.103,-4.944,-56.458,34.912
1.271,-0.631,2.073,-9.766,-67.993,23.804
1.406,-0.620,2.006,-21.118,-85.388,11.597
1.625,-0.609,1.749,-37.964,-101.379,0.671
1.797,-0.552,1.422,-53.711,-122.864,-2.319
1.958,-0.441,1.074,-62.134,-147.522,0.916
2.022,-0.322,0.720,-56.641,-167.480,8.606
1.866,-0.209,0.571,-38.452,-175.293,17.273
1.814,-0.132,0.333,-18.433,-164.978,21.484
1.727,-0.152,0.242,2.625,-152.588,23.987
1.547,-0.240,0.230,22.339,-144.836,26.367
1.407,-0.375,0.172,32.166,-137.207,24.048
1.356,-0.539,0.158,32.959,-135.559,19.165
1.194,-0.712,0.161,28.809,-137.390,14.648
1.046,-0.840,0.070,16.785,-138.245,8.728
0.955,-0.911,-0.104,-0.793,-143.677,1.160
0.818,-0.853,-0.304,-20.081,-154.175,-5.432
0.686,-0.676,-0.505,-36.987,-160.828,-15.686
0.601,-0.512,-0.675,-48.035,-161.499,-29.236
0.564,-0.312,-0.796,-54.688,-157.593,-40.771
0.629,-0.128,-0.941,-53.101,-148.499,-48.584
0.641,-0.018,-0.909,-35.278,-138.855,-47.424
0.478,0.072,-0.743,-8.972,-125.732,-37.109
0.397,0.082,-0.555,10.986,-102.600,-28.992
0.406,-0.022,-0.379,19.226,-79.712,-23.560
0.313,-0.093,-0.280,15.686,-62.805,-16.174
0.201,-0.086,-0.210,4.639,-51.086,-11.536
0.136,-0.060,-0.158,-6.470,-45.715,-11.353
0.078,-0.007,-0.138,-12.878,-45.898,-12.451
0.054,0.037,-0.142,-14.099,-49.866,-13.855
0.009,0.085,-0.151,-11.047,-56.824,-13.977
-0.056,0.123,-0.141,-6.714,-62.866,-11.047
-0.095,0.118,-0.082,-1.343,-64.270,-8.179
-0.140,0.126,0.025,3.540,-58.838,-6.226
