aX,aY,aZ,gX,gY,gZ
-0.433,-0.079,0.864,-22.644,12.085,2.625
-0.406,-0.098,0.869,-19.958,13.611,1.953
-0.396,-0.122,0.876,-18.555,15.015,0.366
-0.411,-0.157,0.901,-18.188,15.869,-2.380
-0.425,-0.176,0.933,-19.592,15.808,-4.517
-0.418,-0.157,0.971,-22.522,15.930,-5.005
-0.391,-0.138,1.018,-23.376,15.381,-4.089
-0.359,-0.141,1.006,-20.386,15.442,-3.174
-0.348,-0.136,1.010,-18.188,14.038,-3.418
-0.345,-0.127,1.012,-17.334,12.085,-5.127
-0.339,-0.116,0.983,-15.991,10.559,-7.202
-0.348,-0.113,0.966,-14.099,7.507,-9.277
-0.355,-0.118,0.960,-12.085,4.028,-10.620
-0.363,-0.130,0.946,-10.010,2.808,-11.353
-0.350,-0.134,0.942,-8.789,1.404,-11.597
-0.351,-0.150,0.916,-7.202,1.160,-12.146
-0.381,-0.177,0.897,-7.019,0.977,-11.902
-0.365,-0.168,0.888,-8.789,2.563,-10.315
-0.332,-0.148,0.894,-11.292,4.211,-8.240
-0.323,-0.152,0.887,-13.367,4.028,-7.324
-0.327,-0.173,0.897,-13.794,3.235,-8.362
-0.304,-0.183,0.890,-14.465,0.732,-9.827
-0.286,-0.171,0.898,-15.381,-1.160,-10.620
-0.254,-0.155,0.907,-14.832,-3.052,-11.841
-0.213,-0.161,0.884,-10.803,-2.991,-13.855
-0.227,-0.187,0.845,-7.629,-6.409,-17.273
-0.297,-0.186,0.845,-6.409,-11.841,-22.034
-0.347,-0.167,0.860,-6.470,-13.245,-26.062
-0.376,-0.116,0.851,-6.348,-11.353,-27.405
-0.402,-0.077,0.865,-5.676,-9.705,-26.367
-0.404,-0.053,0.864,-4.883,-9.705,-23.682
-0.399,-0.032,0.851,-4.761,-9.521,-20.508
-0.377,-0.003,0.833,-3.784,-8.545,-19.104
-0.348,0.000,0.807,-1.221,-9.094,-18.799
-0.377,-0.041,0.744,1.892,-8.911,-19.592
-0.374,-0.082,0.713,2.136,-7.996,-18.982
-0.348,-0.115,0.700,-1.038,-5.249,-17.517
-0.382,-0.154,0.690,-5.310,-3.662,-16.785
-0.374,-0.157,0.754,-10.742,-1.770,-17.700
-0.365,-0.137,0.767,-16.907,3.357,-19.531
-0.382,-0.082,0.808,-22.034,5.737,-23.315
-0.396,-0.033,0.882,-23.987,5.005,-27.100
-0.376,0.015,0.923,-21.973,5.249,-28.381
-0.374,0.044,0.953,-16.785,5.981,-27.405
-0.362,0.050,0.982,-9.216,7.202,-24.658
-0.309,0.020,0.959,1.160,10.193,-19.897
-0.286,-0.051,0.878,11.414,11.841,-15.503
-0.283,-0.104,0.814,17.639,10.254,-14.404
-0.247,-0.135,0.767,18.555,9.766,-16.357
-0.254,-0.159,0.691,15.991,10.376,-20.630
-0.312,-0.156,0.681,10.742,8.240,-26.306
-0.308,-0.105,0.720,2.991,9.216,-31.799
-0.282,-0.047,0.770,-4.456,12.817,-34.119
-0.896,0.266,2.938,10.437,-21.423,28.625
-0.858,0.273,3.053,41.870,-16.602,49.988
