aX,aY,aZ,gX,gY,gZ
0.716,-0.892,0.395,-10.986,-11.230,-11.902
0.750,-0.865,0.414,-8.972,-11.780,-13.245
0.742,-0.816,0.429,-7.141,-7.629,-13.306
0.721,-0.785,0.397,-6.775,0.000,-13.916
0.716,-0.786,0.416,-4.639,4.822,-14.709
0.703,-0.765,0.446,-1.343,6.714,-14.282
0.686,-0.725,0.454,1.282,10.010,-15.259
0.667,-0.700,0.467,3.845,12.695,-17.761
0.648,-0.671,0.485,5.737,13.184,-19.653
0.633,-0.628,0.491,7.019,11.841,-20.508
0.619,-0.578,0.498,6.775,9.338,-21.240
0.610,-0.538,0.509,3.845,6.775,-22.644
0.611,-0.526,0.512,-0.061,5.005,-24.048
0.599,-0.524,0.516,-4.211,3.906,-24.292
0.600,-0.519,0.509,-6.775,3.052,-23.865
0.602,-0.531,0.515,-7.324,2.014,-22.522
0.598,-0.537,0.504,-7.385,1.160,-20.020
0.599,-0.539,0.496,-6.592,-0.061,-18.005
0.614,-0.556,0.486,-5.493,-1.404,-16.541
0.605,-0.550,0.465,-4.089,-1.953,-14.893
0.611,-0.539,0.458,-2.808,-2.319,-13.916
0.613,-0.543,0.465,-2.441,-1.404,-13.794
0.605,-0.513,0.469,-3.296,0.244,-13.550
0.602,-0.515,0.480,-3.784,2.502,-14.404
0.592,-0.533,0.489,-3.296,3.479,-13.428
0.581,-0.530,0.492,-2.136,3.235,-10.864
0.581,-0.539,0.489,-0.122,2.747,-9.827
0.583,-0.529,0.484,1.526,1.343,-9.644
0.591,-0.523,0.478,2.075,-0.305,-8.789
0.607,-0.543,0.475,1.587,-1.953,-7.690
0.601,-0.541,0.465,-0.366,-2.869,-6.714
0.613,-0.550,0.452,-2.563,-2.197,-6.775
0.618,-0.569,0.451,-4.639,-0.793,-7.080
0.621,-0.583,0.445,-5.554,0.671,-6.714
0.614,-0.594,0.443,-4.883,2.197,-5.432
0.619,-0.596,0.451,-2.747,3.357,-4.395
0.620,-0.602,0.466,-0.427,4.639,-3.296
0.607,-0.590,0.471,0.793,5.371,-2.075
0.594,-0.576,0.473,1.221,5.493,-2.075
0.599,-0.584,0.476,0.732,5.066,-2.686
0.596,-0.593,0.484,-0.122,3.784,-1.770
0.592,-0.589,0.485,-0.854,3.113,-0.732
0.593,-0.608,0.491,-1.160,2.930,0.000
0.590,-0.602,0.492,-1.648,2.563,1.099
0.591,-0.595,0.490,-1.465,2.686,1.831
0.601,-0.630,0.492,-0.732,2.258,2.808
0.605,-0.650,0.490,-0.366,1.038,5.310
0.617,-0.669,0.490,0.000,0.427,5.554
0.620,-0.692,0.484,0.244,0.549,4.333
0.614,-0.681,0.477,-0.183,0.488,3.906
0.627,-0.691,0.485,0.061,1.160,2.930
0.626,-0.712,0.486,0.549,1.953,2.014
0.616,-0.719,0.484,0.977,2.319,2.014
0.616,-0.718,0.486,2.014,2.197,0.671
0.624,-0.706,0.490,3.601,2.502,-1.038
0.625,-0.696,0.489,4.517,2.747,-1.526
0.618,-0.685,0.484,4.761,2.441,-1.221
0.620,-0.679,0.485,4.578,2.380,-1.587
0.621,-0.684,0.492,3.906,2.686,-2.136
0.618,-0.685,0.486,2.869,2.991,-2.319
0.611,-0.678,0.488,2.380,2.808,-2.319
0.612,-0.669,0.499,2.197,2.319,-2.808
0.608,-0.674,0.501,2.258,2.136,-2.991
0.603,-0.671,0.501,2.686,1.099,-2.380
0.609,-0.670,0.501,3.357,-0.061,-2.014
0.614,-0.688,0.492,4.028,-1.160,-2.136
0.611,-0.682,0.485,4.639,-2.625,-1.587
0.623,-0.681,0.477,5.066,-2.808,-2.136
0.625,-0.684,0.468,5.188,-2.197,-2.930
0.625,-0.673,0.466,4.761,-1.831,-3.723
0.627,-0.661,0.468,4.211,-0.610,-4.944
0.626,-0.648,0.473,3.540,1.160,-6.226
0.621,-0.643,0.474,3.235,2.686,-6.042
0.616,-0.637,0.476,3.906,3.418,-4.517
0.610,-0.645,0.464,4.883,3.174,-2.991
0.624,-0.681,0.459,7.202,1.892,-2.502
0.640,-0.726,0.448,10.803,0.793,-1.099
0.657,-0.757,0.423,15.808,1.038,0.305
0.665,-0.772,0.397,23.071,2.625,1.099
0.670,-0.771,0.389,31.738,4.761,2.441
0.673,-0.746,0.391,39.673,7.446,4.150
1.248,-1.326,1.146,-59.875,125.366,370.667
1.324,-1.260,1.203,-54.565,114.807,370.300
