aX,aY,aZ,gX,gY,gZ
-0.709,-0.632,-1.825,445.984,-161.865,-198.792
-0.670,-0.829,-1.465,456.726,-187.195,-213.684
-0.579,-1.035,-1.041,458.557,-207.397,-222.534
-0.467,-1.104,-0.614,441.467,-219.849,-220.398
-0.319,-1.154,-0.225,409.607,-232.056,-214.355
-0.164,-1.226,0.148,369.995,-245.178,-206.665
0.017,-1.296,0.440,331.665,-245.178,-191.406
0.182,-1.326,0.634,306.946,-228.882,-169.373
0.302,-1.377,0.832,303.345,-204.163,-147.888
0.405,-1.395,0.954,309.082,-171.631,-130.371
0.505,-1.396,0.996,313.049,-138.123,-115.784
0.598,-1.426,1.005,311.340,-113.953,-104.980
0.689,-1.485,1.064,306.030,-105.164,-96.985
0.743,-1.552,1.210,293.274,-110.840,-89.844
0.736,-1.571,1.381,270.264,-117.981,-80.322
0.702,-1.528,1.540,243.164,-116.333,-71.838
0.710,-1.512,1.616,213.989,-102.051,-67.444
0.712,-1.487,1.555,184.204,-77.209,-61.279
0.671,-1.410,1.436,156.982,-54.077,-52.429
0.624,-1.325,1.321,136.475,-39.917,-44.678
0.547,-1.266,1.244,119.812,-33.752,-40.344
0.486,-1.216,1.128,102.356,-30.334,-37.659
0.453,-1.162,1.015,88.257,-28.992,-38.635
0.464,-1.142,0.931,78.979,-32.837,-42.236
0.508,-1.126,0.876,72.449,-38.269,-46.021
0.572,-1.141,0.849,67.261,-43.884,-48.950
0.637,-1.104,0.866,65.613,-46.265,-49.316
0.706,-1.051,0.896,67.993,-41.443,-49.133
0.780,-1.054,0.950,69.580,-34.851,-47.058
0.857,-1.018,1.002,64.941,-29.541,-40.283
0.874,-0.943,1.046,54.321,-26.672,-28.870
0.851,-0.853,1.073,44.006,-21.301,-16.235
0.819,-0.768,1.055,36.316,-12.146,-6.958
0.780,-0.691,1.012,29.419,-2.319,-0.610
0.723,-0.604,0.925,22.400,7.446,6.653
0.667,-0.479,0.818,18.066,15.381,13.245
0.598,-0.387,0.708,15.503,20.020,16.357
0.561,-0.312,0.585,12.939,21.851,14.648
0.567,-0.271,0.491,11.902,18.982,9.460
0.606,-0.256,0.443,12.634,12.756,3.540
0.668,-0.253,0.441,15.259,5.920,-1.831
0.714,-0.250,0.476,17.822,1.160,-5.005
0.747,-0.240,0.524,19.287,-1.343,-6.104
0.771,-0.231,0.591,18.005,-2.441,-5.859
0.801,-0.225,0.636,12.390,-2.441,-5.127
0.823,-0.219,0.663,3.906,-2.258,-3.662
0.829,-0.199,0.673,-3.540,0.122,-0.854
0.831,-0.177,0.657,-7.629,6.836,2.625
0.839,-0.155,0.616,-8.850,14.465,4.883
0.832,-0.114,0.550,-9.827,20.203,7.141
0.812,-0.081,0.495,-10.315,21.912,7.629
0.823,-0.096,0.445,-8.301,20.081,5.615
0.834,-0.087,0.426,-7.568,16.418,3.235
0.841,-0.085,0.411,-6.714,14.404,1.892
0.852,-0.084,0.401,-5.737,13.306,0.916
0.864,-0.089,0.389,-6.470,11.841,-0.305
0.878,-0.108,0.410,-8.484,7.019,-1.770
0.887,-0.126,0.438,-11.230,2.625,-2.197
0.893,-0.136,0.451,-12.451,1.648,-2.075
0.892,-0.137,0.466,-12.268,1.831,-2.258
0.899,-0.149,0.479,-11.719,2.441,-2.136
0.898,-0.171,0.473,-11.475,3.418,-1.221
0.880,-0.177,0.458,-11.108,3.662,0.977
0.867,-0.174,0.453,-9.521,3.845,3.174
0.852,-0.175,0.440,-7.080,5.920,4.883
0.844,-0.168,0.436,-4.578,11.292,6.165
0.825,-0.149,0.378,-1.160,19.775,6.409
0.829,-0.141,0.370,4.333,18.677,5.676
0.847,-0.143,0.385,6.836,13.062,3.479
0.872,-0.179,0.431,5.554,4.700,0.183
0.895,-0.213,0.480,3.113,-0.977,-1.343
0.899,-0.228,0.527,1.160,-2.625,-0.610
0.919,-0.236,0.552,-1.343,-2.380,0.916
0.907,-0.253,0.556,-4.639,-1.404,3.723
0.900,-0.235,0.535,-7.446,1.404,8.423
0.872,-0.203,0.516,-8.362,5.249,12.634
0.852,-0.181,0.485,-8.606,8.423,14.526
0.813,-0.153,0.473,-9.277,9.216,13.916
0.800,-0.132,0.438,-8.545,10.132,12.573
0.788,-0.124,0.427,-6.104,9.705,9.460
0.809,-0.130,0.440,-3.845,6.836,5.310
